card_id|card_title|level|monster_type|description|attack|defence|magic|attributes|skills|image|last_update_datetime
20250914-00010-5ef23c0e|Water Seraph|0|Water|[Fish]|1|0|0|{"normal_attribute":"At each End Phase: gain 1 Mana (may assign to other monsters) and Faith +8.","responsive_attribute":"When this card is destroyed by battle: opponent revives 1 monster."}|[]|pictures/godfish.png|2025-09-14 15:23:04
20250914-00012-da1e2bc0|Octo Queen|0|Water|[Fish]|0|3|0|{"responsive_attribute":"When this card enters via an additional summon (not normal/direct/flip): draw 2 cards."}|[{"name":"Bubble Spawn","energy_cost":0,"effect":"Additional summon 1 monster."}]|pictures/summoner.png|2025-09-14 15:22:52
20250914-00013-7cd3a5a9|Elder Turtle Sage|0|Water|[Merfolk]|0|0|0|{"responsive_attribute":"(Once per turn) When our monster gains ATK: draw 1 card. If it is a Level ≤3 monster, you may summon it; if it is a Prophecy, you may use it."}|[{"name":"Shell Ward","energy_cost":0,"effect":"Choose 1 of our monsters or 1 [Persistent] Prophecy and destroy it; then one of our monsters gains +1 Mana and +8 DEF until the end of the opponent’s turn."}]|pictures/turtle_wisdom.png|2025-09-14 15:22:46
20250914-00014-e12bbb7c|Shell Fighter|0|Water|[Merfolk]|1|6|0|{"normal_attribute":"While on the field, opponent must attack this card first. Taunt priority: 1."}|[{"name":"Shell Disc","energy_cost":1,"effect":"ATK +5 until this attack ends."}]|pictures/turtle_fighter.png|2025-09-14 15:22:39
20250914-00015-75357920|Pearl Mermaid|0|Water|[Merfolk] Mermaid of baby size.|2|3|1|{}|[{"name":"Call Surge","energy_cost":0,"effect":"Return 1 opponent card on the field to hand; then we discard 1 card."},{"name":"Pearl Light","energy_cost":5,"effect":"Deal 30 damage to the opponent."}]|pictures/pearl_girl.png|2025-09-14 15:22:32
20250914-00016-5b1ebc8b|Aegis Mage|1|Void|[Human] Tiny but mighty.|0|9|1|{"responsive_attribute":"When the opponent activates a monster skill or a Prophecy effect: discard 1 Prophecy to negate that effect."}|[{"name":"Spell Shield","energy_cost":0,"effect":"One of our monsters gains DEF +5 until the end of the opponent’s turn."},{"name":"Mana Shift","energy_cost":0,"effect":"Reassign any Mana from this card."},{"name":"Ganel Guard","energy_cost":1,"effect":"Negate the opponent’s next two attacks next turn."}]|pictures/magic_shield.png|2025-09-14 15:14:32
20250914-00017-ff326556|Yin-Yang Girl|0||[Human] A sly prodigy rumored to wield chaos.|1|3|1|{"responsive_attribute":"When we deal non-attack damage: deal +5 extra."}|[{"name":"Twist Fate","energy_cost":0,"effect":"Battle damage we deal this turn is doubled."},{"name":"Provoke Drain","energy_cost":0,"effect":"Choose 1 monster on the field to make an extra attack targeting this card; afterward, absorb 1 Mana from it."},{"name":"Inspire","energy_cost":1,"effect":"One of our monsters may use an additional skill this turn."}]|pictures/yingyang_baby.png|2025-09-14 15:13:58
20250914-00018-b1515804|Brute Maiden|1||[Human] A mute born with great strength.|5|4|1|{"normal_attribute":"Gains DEF +3 during the opponent’s turn."}|[{"name":"Quick Punch","energy_cost":0,"effect":"[Attack Skill] ATK +3 this attack."},{"name":"Snake Kill","energy_cost":4,"effect":"[Attack Skill] ATK +20 this attack."}]|pictures/girl_boxer.png|2025-09-14 15:13:48
20250914-00019-820c6247|Strategist Trio|0||[Human] Three quarrelers, inseparable.|0|0|2.5|{"responsive_attribute":"(Once per turn) When the opponent issues an attack command: reveal the top card of our deck. If it is a Level 0 monster, you may summon it and have it take the attack; if it is a Prophecy, you may use it. If neither is possible, discard it."}|[]|pictures/clevers.png|2025-09-14 15:13:24
20250914-00020-dc9ff052|Agile Huntress|1|Metal|[Human] Learned shapeshifting; can turn into a cat.|4|5|1|{"normal_attribute":"While on the field, all damage we take is reduced by 2."}|[{"name":"Veil","energy_cost":1,"effect":"DEF +6 until the end of the opponent’s turn."},{"name":"Ambush","energy_cost":1,"effect":"[Attack Skill] Directly attack the opponent. Then look at 1 card in the opponent’s hand."}]|pictures/female_killer.png|2025-09-14 15:13:14
20250914-00021-02b1a3a3|Saint Maiden|0|Light|[Human] A clean freak who avoids romance.|0|3|1.5|{"normal_attribute":"All our monsters gain DEF +1.","responsive_attribute":"At the start of our Draw Phase: if the opponent has more cards in hand, draw 1 extra."}|[{"name":"Holy Bane","energy_cost":1,"effect":"Discard 1 card; destroy 1 face-up Prophecy on the opponent’s field (opponent chooses)."},{"name":"Relic Bane","energy_cost":1,"effect":"Discard 1 card; destroy 1 monster on the opponent’s field (opponent chooses)."}]|pictures/protector.png|2025-09-14 15:13:06
20250914-00022-8369126a|Warlock|0|Dark|[Human] Born alluring, obsessed with study.|3|5|1|{"responsive_attribute":"At the end of the opponent’s Set phase: deal 6 damage to the opponent."}|[]|pictures/dark_magician.png|2025-09-14 15:12:49
20250914-00023-166ef75c|Rogue Sharpshooter|1|Metal|[Human] Cross-dressing ace with superb marksmanship.|7|6|1|{"normal_attribute":"(Once per turn) Negate an attack targeting this card."}|[]|pictures/female_lancher.png|2025-09-14 15:12:32
20250914-00024-bbf8b8a7|Moonblade Warrior|2|Metal|[Human] Mysterious; sometimes seen near General City.|8|11|0.2|{"responsive_attribute":"After any monster uses Mana to activate a skill: this card absorbs that spent Mana, up to 2 total per turn."}|[{"name":"Moon Bless","energy_cost":6,"effect":"Distribute 6 Mana evenly among all our monsters."}]|pictures/moon_fighter.png|2025-09-14 15:12:19
